Jonathan Fanene,N/A,N/A,N/A,N/A,1,3,6,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Terrence Fede,N/A,N/A,1,1,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jaylon Ferguson,N/A,N/A,N/A,N/A,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jacob Ford,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eddie Freeman,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dwight Freeney,N/A,6,11,12,14,5,4,9,12,9,8,N/A,N/A,N/A,1,2,1,N/A
Antonio Garay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
Jonathan Garvin,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clifton Geathers,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert Geathers,2,6,3,7,6,8,7,6,8,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vernon Gholston,N/A,1,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kedric Golston,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Malliciah Goodman,N/A,N/A,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Charles Grant,N/A,N/A,N/A,5,8,8,7,9,6,4,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Green,N/A,N/A,N/A,N/A,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Howard Green,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A
Jamaal Green,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jarvis Green,N/A,N/A,3,4,3,3,5,6,3,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Everson Griffen,N/A,N/A,1,2,4,2,9,11,13,15,6,10,2,3,N/A,N/A,N/A,N/A
Quentin Groves,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rodney Gunter,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Obum Gwacham,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamba Hali,N/A,N/A,9,9,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
Carlos Hall,N/A,N/A,7,4,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daeshon Hall,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P.J. Hall,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Greg Hardy,N/A,2,5,6,15,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Hargrove,1,5,2,1,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eli Harold,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Larry Hart,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taylor Hart,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derrick Harvey,N/A,4,7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jason Hatcher,N/A,N/A,N/A,1,2,1,2,1,5,7,N/A,6,6,N/A,N/A,N/A,N/A,N/A
Brent Hawkins,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jovan Haye,N/A,N/A,N/A,1,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
William Hayes,N/A,N/A,1,5,2,2,3,3,6,7,7,1,N/A,N/A,N/A,N/A,N/A,N/A
Michael Haynes,N/A,N/A,2,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Akiem Hicks,N/A,N/A,1,9,5,3,7,10,13,N/A,7,3,N/A,N/A,N/A,N/A,N/A,N/A
