Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Anttaj Hawthorne,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nick Hayden,N/A,N/A,N/A,2,5,N/A,N/A,6,6,7,N/A,N/A,N/A,N/A,N/A,N/A
Jovan Haye,N/A,N/A,N/A,N/A,N/A,11,7,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albert Haynesworth,N/A,3,6,4,5,4,15,17,6,1,2,N/A,N/A,N/A,N/A,N/A
John Henderson,N/A,N/A,N/A,8,7,14,9,15,7,6,6,2,2,N/A,N/A,N/A
Willie Henry,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Treyvon Hester,N/A,N/A,N/A,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Akiem Hicks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A
Charles Hill,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jordan Hill,N/A,N/A,N/A,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sammie Lee Hill,N/A,N/A,N/A,4,2,3,2,5,6,2,N/A,N/A,N/A,N/A,N/A,N/A
Evander Hood,N/A,N/A,2,N/A,N/A,N/A,N/A,2,N/A,6,6,N/A,N/A,N/A,N/A,N/A
Lamarr Houston,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,2,N/A,N/A,N/A,N/A,N/A
Jaye Howard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Hughes,N/A,N/A,N/A,N/A,3,2,N/A,2,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
Montori Hughes,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Margus Hunt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,3,N/A,N/A,N/A
Matthew Ioannidis,N/A,N/A,1,N/A,5,N/A,N/A,3,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Corvey Irvin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Malik Jackson,N/A,N/A,1,N/A,3,N/A,8,11,6,N/A,4,6,N/A,N/A,N/A,N/A
Tyson Jackson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ricky Jean-Francois,N/A,N/A,N/A,N/A,1,2,3,N/A,6,2,N/A,1,5,N/A,N/A,N/A
Jason Jefferson,N/A,N/A,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jarvis Jenkins,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,1,N/A,N/A,N/A,N/A,N/A
Timmy Jernigan,N/A,N/A,3,N/A,N/A,7,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Peria Jerry,N/A,N/A,N/A,N/A,N/A,N/A,1,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
