Player,AV,Age,Pos,-9999
Bryan Fletcher,3,26,TE,FletBr00
Bryan Fletcher,3,27,TE,FletBr00
Bryan Fletcher,2,28,TE,FletBr00
Michael Gaines,2,25,TE,GainMi00
Michael Gaines,1,26,TE,GainMi00
Michael Gaines,2,27,TE,GainMi00
Michael Gaines,2,28,TE,GainMi00
Crockett Gillmore,1,23,TE,GillCr00
Crockett Gillmore,3,24,TE,GillCr00
John Gilmore,1,23,TE,GilmJo00
John Gilmore,1,29,TE,GilmJo00
John Gilmore,1,31,TE,GilmJo00
Chris Gragg,1,25,TE,GragCh00
Daniel Graham,1,24,TE,GrahDa00
Daniel Graham,4,25,TE,GrahDa00
Daniel Graham,4,26,TE,GrahDa00
Daniel Graham,2,27,TE,GrahDa00
Daniel Graham,3,28,TE,GrahDa00
Daniel Graham,2,29,TE,GrahDa00
Daniel Graham,3,30,TE,GrahDa00
Daniel Graham,2,31,TE,GrahDa00
Daniel Graham,1,32,TE,GrahDa00
Garrett Graham,3,27,TE,GrahGa00
Garrett Graham,2,28,TE,GrahGa00
T.J. Graham,3,23,TE,GrahT.00
Ladarius Green,2,24,TE,GreeLa00
Ladarius Green,3,25,TE,GreeLa00
Virgil Green,1,24,TE,GreeVi00
Virgil Green,1,26,TE,GreeVi00
Virgil Green,1,27,TE,GreeVi00
Virgil Green,2,28,TE,GreeVi00
Virgil Green,1,29,TE,GreeVi00
Virgil Green,2,30,TE,GreeVi00
Virgil Green,1,31,TE,GreeVi00
Jermaine Gresham,4,22,TE,GresJe00
Jermaine Gresham,5,23,TE,GresJe00
Jermaine Gresham,7,24,TE,GresJe00
Jermaine Gresham,4,25,TE,GresJe00
Jermaine Gresham,4,26,TE,GresJe00
Jermaine Gresham,2,27,TE,GresJe00
Jermaine Gresham,3,28,TE,GresJe00
Jermaine Gresham,2,29,TE,GresJe00
Jermaine Gresham,1,30,TE,GresJe00
Ryan Griffin,1,23,TE,GrifRy00
Ryan Griffin,1,24,TE,GrifRy00
Ryan Griffin,2,25,TE,GrifRy00
Ryan Griffin,3,26,TE,GrifRy00
Ryan Griffin,3,28,TE,GrifRy00
Ryan Griffin,2,29,TE,GrifRy00
Ryan Griffin,1,30,TE,GrifRy00
Ryan Griffin,2,31,TE,GrifRy00
Dan Gronkowski,1,25,TE,GronDa00
Rob Gronkowski,7,21,TE,GronRo00
Rob Gronkowski,14,22,TE,GronRo00
Rob Gronkowski,9,23,TE,GronRo00
Rob Gronkowski,13,25,TE,GronRo00
Rob Gronkowski,12,26,TE,GronRo00
Rob Gronkowski,5,27,TE,GronRo00
Rob Gronkowski,13,28,TE,GronRo00
Rob Gronkowski,6,29,TE,GronRo00
Rob Gronkowski,6,31,TE,GronRo00
Rob Gronkowski,7,32,TE,GronRo00
James Hanna,1,23,TE,HannJa00
James Hanna,1,24,TE,HannJa00
James Hanna,1,28,TE,HannJa00
Ryan Hannam,1,24,TE,HannRy00
Ryan Hannam,1,25,TE,HannRy00
Clay Harbor,1,23,TE,HarbCl00
Clay Harbor,1,24,TE,HarbCl00
Clay Harbor,1,25,TE,HarbCl00
Clay Harbor,2,26,TE,HarbCl00
Clay Harbor,2,27,TE,HarbCl00
Clay Harbor,1,28,TE,HarbCl00
Clark Harris,1,37,TE,HarrCl20
Ben Hartsock,1,27,TE,HartBe00
Aaron Hernandez,7,21,TE,HernAa00
Aaron Hernandez,10,22,TE,HernAa00
Aaron Hernandez,5,23,TE,HernAa00
Chris Herndon,4,22,TE,HernCh00
Chris Herndon,2,24,TE,HernCh00
Jeff Heuerman,1,24,TE,HeueJe00
Jeff Heuerman,1,25,TE,HeueJe00
Jeff Heuerman,2,26,TE,HeueJe00
Jeff Heuerman,1,27,TE,HeueJe00
Gerald Hodges,4,27,TE,HodgGe00
Michael Hoomanawanui,1,22,TE,HoomMi00
Michael Hoomanawanui,1,24,TE,HoomMi00
Michael Hoomanawanui,1,25,TE,HoomMi00
Michael Hoomanawanui,1,27,TE,HoomMi00
Michael Hoomanawanui,1,29,TE,HoomMi00
Rob Housler,1,23,TE,HousRo01
Rob Housler,3,24,TE,HousRo01
Rob Housler,4,25,TE,HousRo01
Rob Housler,1,26,TE,HousRo01
O.J. Howard,3,23,TE,HowaO.00
O.J. Howard,4,24,TE,HowaO.00
O.J. Howard,4,25,TE,HowaO.00
O.J. Howard,1,27,TE,HowaO.00
O.J. Howard,1,28,TE,HowaO.00
Ryan Izzo,2,25,TE,IzzoRy00
Jesse James,3,22,TE,JameJe00
Jesse James,4,23,TE,JameJe00
Jesse James,3,24,TE,JameJe00
Jesse James,1,25,TE,JameJe00
Jesse James,1,26,TE,JameJe00
Jesse James,1,27,TE,JameJe00
David Johnson,1,24,TE,JohnDa05
David Johnson,1,29,TE,JohnDa05
Teyo Johnson,1,22,TE,JohnTe00
Teyo Johnson,1,23,TE,JohnTe00
Doug Jolley,4,23,TE,JollDo00
Doug Jolley,2,24,TE,JollDo00
Doug Jolley,3,25,TE,JollDo00
Doug Jolley,3,26,TE,JollDo00
Terry Jones,1,23,TE,JoneTe00
Terry Jones,2,24,TE,JoneTe00
Terry Jones,1,25,TE,JoneTe00
Terry Jones,1,26,TE,JoneTe00
Dustin Keller,6,24,TE,KellDu00
Dustin Keller,5,25,TE,KellDu00
Dustin Keller,5,26,TE,KellDu00
Dustin Keller,6,27,TE,KellDu00
Dustin Keller,2,28,TE,KellDu00
Lance Kendricks,4,24,TE,KendLa00
Lance Kendricks,2,26,TE,KendLa00
Lance Kendricks,2,27,TE,KendLa00
Lance Kendricks,3,28,TE,KendLa00
Lance Kendricks,2,29,TE,KendLa00
Lance Kendricks,1,30,TE,KendLa00
Jeff King,3,24,TE,KingJe00
Jeff King,2,25,TE,KingJe00
Jeff King,2,26,TE,KingJe00
Jeff King,1,27,TE,KingJe00
Jeff King,2,28,TE,KingJe00
Jeff King,1,29,TE,KingJe00
Joe Klopfenstein,2,23,TE,KlopJo00
Joe Klopfenstein,1,25,TE,KlopJo00
Ben Koyack,1,23,TE,KoyaBe00
Donald Lee,1,23,TE,LeexDo00
Donald Lee,1,24,TE,LeexDo00
Donald Lee,2,25,TE,LeexDo00
Donald Lee,1,26,TE,LeexDo00
Donald Lee,6,27,TE,LeexDo00
Donald Lee,3,28,TE,LeexDo00
Donald Lee,3,29,TE,LeexDo00
Donald Lee,1,30,TE,LeexDo00
Donald Lee,1,31,TE,LeexDo00
Jordan Leggett,1,23,TE,LeggJo00
Erik Lorig,1,26,TE,LoriEr99
Rishard Matthews,3,24,TE,MattRi00
Anthony McCoy,1,24,TE,McCoAn00
Anthony McCoy,3,25,TE,McCoAn00
Vance McDonald,1,23,TE,McDoVa00
Vance McDonald,2,25,TE,McDoVa00
Vance McDonald,2,27,TE,McDoVa00
