Manuel Ramirez,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,9,N/A,N/A,N/A,N/A,N/A
Demetrius Rhaney,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jamey Richard,N/A,N/A,N/A,5,1,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barry Richardson,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Weston Richburg,N/A,N/A,N/A,8,6,N/A,6,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chase Roullier,N/A,N/A,N/A,4,7,5,6,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samson Satele,N/A,N/A,7,9,4,7,8,5,7,9,N/A,N/A,N/A,N/A,N/A,N/A
Brian Schwenke,N/A,5,4,N/A,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A.Q. Shipley,N/A,N/A,N/A,N/A,N/A,3,N/A,4,3,8,6,N/A,8,N/A,N/A,N/A
Chris Spencer,N/A,N/A,N/A,6,8,4,6,7,N/A,N/A,2,3,N/A,N/A,N/A,N/A
Alex Stepanovich,N/A,N/A,6,4,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bryan Stork,N/A,N/A,N/A,7,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Sullivan,N/A,N/A,1,9,5,8,7,7,7,N/A,2,8,11,N/A,N/A,N/A
Travis Swanson,N/A,N/A,N/A,7,6,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matt Tennant,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
J.C. Tretter,N/A,N/A,N/A,N/A,N/A,6,7,7,9,6,N/A,N/A,N/A,N/A,N/A,N/A
Larry Turner,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Max Unger,N/A,N/A,N/A,N/A,6,16,9,N/A,10,9,9,13,N/A,N/A,N/A,N/A
Kraig Urbik,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
John Urschel,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steve Vallos,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cody Wallace,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2,2,8,N/A,N/A,N/A,N/A,N/A
Tyson Walter,N/A,N/A,N/A,2,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
J.D. Walton,N/A,N/A,7,6,N/A,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Watt,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott Wells,N/A,N/A,N/A,N/A,6,8,7,9,9,16,N/A,6,7,N/A,N/A,N/A
Stefen Wisniewski,N/A,N/A,6,5,5,8,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A
Eric Wood,N/A,N/A,N/A,N/A,4,6,7,7,10,5,7,N/A,N/A,N/A,N/A,N/A
Jeremy Zuttah,N/A,N/A,N/A,5,N/A,8,6,9,4,9,N/A,N/A,N/A,N/A,N/A,N/A
