Carlos Hyde,N/A,N/A,N/A,2,N/A,7,8,3,8,3,2,N/A,N/A,N/A,N/A,N/A,N/A
Mark Ingram,N/A,4,4,3,8,8,11,14,7,12,3,5,2,N/A,N/A,N/A,N/A
Brandon Jackson,N/A,3,3,3,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Justin Jackson,N/A,3,N/A,3,4,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steven Jackson,5,9,20,8,8,8,10,6,7,5,6,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Jacobs,N/A,N/A,1,5,9,9,6,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LaMichael James,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike James,N/A,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andy Janovich,N/A,N/A,1,0,1,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rashad Jennings,N/A,N/A,N/A,2,6,N/A,2,6,6,8,5,N/A,N/A,N/A,N/A,N/A,N/A
Chris Johnson,N/A,N/A,10,18,13,9,9,9,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Johnson,N/A,N/A,N/A,9,15,N/A,6,5,7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Duke Johnson,N/A,5,5,6,4,7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gartrell Johnson,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeremi Johnson,N/A,N/A,1,0,1,1,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerryon Johnson,5,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kyle Johnson,N/A,N/A,N/A,N/A,N/A,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Larry Johnson,N/A,N/A,N/A,N/A,7,16,18,4,6,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Malcolm Johnson,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Quinn Johnson,N/A,N/A,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
