Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Joe Staley,,,,5.0,8.0,4.0,4.0,13.0,13.0,13.0,10.0,8.0,5.0,10.0,7.0,,,,,,
Max Starks,,,1.0,9.0,7.0,3.0,6.0,9.0,,5.0,7.0,,,,,,,,,,
Donald Stephenson,,,,,3.0,4.0,1.0,5.0,5.0,,,,,,,,,,,,
David Stewart,,,,,6.0,7.0,11.0,7.0,8.0,7.0,5.0,6.0,,,,,,,,,
Jon Stinchcomb,,,,,,,,8.0,9.0,11.0,12.0,8.0,,,,,,,,,
Zach Strief,,,,,,,,,7.0,6.0,8.0,9.0,9.0,10.0,,,,,,,
Will Svitek,,,,,,2.0,,2.0,1.0,7.0,,2.0,,,,,,,,,
Adam Terry,,,,,2.0,4.0,3.0,,,,,,,,,,,,,,
Sam Tevi,,,,2.0,8.0,7.0,7.0,,,,,,,,,,,,,,
Joe Thomas,,,,11.0,9.0,9.0,12.0,11.0,11.0,11.0,12.0,12.0,8.0,,,,,,,,
Jeremy Trueblood,,,,4.0,8.0,7.0,5.0,4.0,6.0,1.0,5.0,,,,,,,,,,
Tony Ugoh,,,,,7.0,7.0,3.0,,,,,,,,,,,,,,
Jared Veldheer,,,,6.0,8.0,7.0,,7.0,9.0,4.0,5.0,5.0,,,,,,,,,
Sebastian Vollmer,,,,,,5.0,18.0,,10.0,4.0,9.0,8.0,,,,,,,,,
Ricky Wagner,,,,,2.0,9.0,7.0,6.0,6.0,7.0,5.0,6.0,,,,,,,,,
Langston Walker,,,,2.0,4.0,2.0,,4.0,6.0,7.0,,7.0,,,,,,,,,
Seth Wand,,,,,2.0,7.0,1.0,,,,,,,,,,,,,,
J'Marcus Webb,,,5.0,6.0,7.0,1.0,,,2.0,,,4.0,,,,,,,,,
Andrew Whitworth,,,,,,7.0,,,7.0,8.0,7.0,10.0,8.0,12.0,16.0,9.0,14.0,11.0,8.0,4.0,9.0
Daryl Williams,,,,2.0,4.0,12.0,,5.0,9.0,10.0,,,,,,,,,,,
Mike Williams,,,7.0,5.0,7.0,3.0,,,,,,,,,,,,,,,
Eric Winston,,,,3.0,9.0,8.0,8.0,10.0,8.0,5.0,7.0,,2.0,2.0,1.0,,,,,,
Sam Young,,,,,,3.0,1.0,2.0,3.0,1.0,3.0,1.0,,4.0,,,,,,,
